invoice_id,date,category,vendor,department,expense,revenue,status,notes
1000,2024-01-15,Travel,FlyAway,Sales,3972,0,Pending,
1001,2024-03-28,Travel,EuroTravel,Finance,3119,0,Approved,Check discrepancy
1002,2024-03-04,Office Supplies,Staples,Operations,1384,0,Rejected,Rejected invoice
1003,2024-02-28,Hardware,Dell,Finance,2247,0,Approved,
1004,2024-03-04,Payment Processing,PayPal,Marketing,3756,0,Approved,
1005,2024-03-29,Travel,FlyAway,Marketing,441,0,Rejected,Rejected invoice
1006,2024-03-11,Office Supplies,OfficeMart,Marketing,975,0,Pending,
1007,2024-01-02,Marketing Tools,HubSpot,Marketing,2813,0,Approved,
1008,2024-02-03,Office Supplies,Staples,Marketing,1195,0,Approved,
1009,2024-03-02,Software Licenses,JetBrains,Marketing,537,0,Approved,
1010,2024-02-10,Hardware,HP,Marketing,4084,0,Approved,
1011,2024-01-08,Software Licenses,Adobe,Marketing,591,0,Approved,
1012,2024-02-10,Subscriptions,Slack,Operations,400,0,Completed,
1013,2024-02-13,Travel,EuroTravel,Sales,1770,0,Pending,
1014,2024-03-30,Payment Processing,Stripe,Sales,1070,0,Approved,
1015,2024-03-17,Consulting,BizAdvisors,Marketing,1063,0,Approved,
1016,2024-01-23,Marketing Tools,HubSpot,Sales,1878,0,Pending,
1017,2024-03-26,Travel,EuroTravel,Finance,2929,0,Completed,
1018,2024-02-13,Advertising,Facebook Ads,Marketing,2181,0,Approved,
1019,2024-01-01,Hardware,Dell,IT,4229,0,Approved,
1020,2024-01-09,Payment Processing,Stripe,Finance,863,0,Approved,
1021,2024-03-02,Software Licenses,Adobe,Marketing,1491,0,Rejected,Rejected invoice
1022,2024-02-25,Cloud Services,AWS,IT,2360,2854,Approved,
1023,2024-01-02,Cloud Services,AWS,Finance,2977,6931,Approved,
1024,2024-02-07,Software Licenses,Adobe,IT,3131,3930,Approved,
1025,2024-02-28,Cloud Services,AWS,Marketing,1994,0,Approved,
1026,2024-01-19,Payment Processing,PayPal,Finance,1934,0,Approved,
1027,2024-01-11,Travel,FlyAway,IT,4261,0,Approved,
1028,2024-02-29,Consulting,BizAdvisors,IT,3923,0,Approved,
1029,2024-01-19,Travel,EuroTravel,IT,1354,0,Pending,
1030,2024-03-12,Cloud Services,Google Cloud,IT,4399,0,Pending,Check discrepancy
1031,2024-01-18,Hardware,Dell,IT,3977,0,Approved,
1032,2024-03-08,Hardware,HP,IT,1500,0,Approved,
1033,2024-01-17,Software Licenses,Adobe,Finance,2935,0,Approved,
1034,2024-02-20,Travel,FlyAway,Sales,3554,0,Completed,
1035,2024-03-09,Cloud Services,Google Cloud,IT,1015,0,Approved,Check discrepancy
1036,2024-01-30,Cloud Services,AWS,Marketing,3644,0,Rejected,Rejected invoice
1037,2024-02-15,Subscriptions,Atlassian,IT,3370,3139,Rejected,Rejected invoice
1038,2024-03-07,Subscriptions,Notion,IT,2016,0,Approved,
1039,2024-02-01,Payment Processing,PayPal,Operations,1886,0,Pending,
1040,2024-02-02,Office Supplies,Staples,IT,3006,0,Approved,
1041,2024-01-07,Software Licenses,Adobe,Marketing,4315,0,Approved,
1042,2024-03-06,Payment Processing,Stripe,Marketing,2182,0,Approved,
1043,2024-03-26,Advertising,Facebook Ads,Operations,4054,0,Approved,
1044,2024-01-05,Cloud Services,AWS,Marketing,1076,0,Approved,
1045,2024-01-16,Payment Processing,Stripe,Marketing,835,0,Rejected,Rejected invoice
1046,2024-02-27,Software Licenses,Adobe,Finance,940,0,Approved,
1047,2024-01-01,Hardware,HP,Sales,712,0,Approved,
1048,2024-01-01,Advertising,Facebook Ads,IT,4270,0,Rejected,Rejected invoice
1049,2024-01-26,Travel,EuroTravel,Marketing,2944,0,Approved,
1050,2024-03-09,Cloud Services,Azure,Marketing,2465,0,Approved,
1051,2024-01-23,Marketing Tools,MailChimp,Sales,3049,0,Approved,Check discrepancy
1052,2024-03-09,Payment Processing,PayPal,IT,3287,0,Pending,
1053,2024-01-24,Cloud Services,Google Cloud,Marketing,3946,0,Pending,
1054,2024-01-12,Payment Processing,Stripe,Sales,4113,0,Approved,
1055,2024-02-04,Office Supplies,OfficePro,Finance,4385,0,Approved,
1056,2024-01-07,Consulting,BizAdvisors,Operations,1716,0,Approved,Check discrepancy
1057,2024-02-05,Hardware,Dell,Sales,2704,0,Approved,
1058,2024-03-22,Payment Processing,PayPal,Marketing,2343,0,Approved,
1059,2024-01-23,Subscriptions,Atlassian,Sales,4152,0,Pending,
1060,2024-01-19,Advertising,Google Ads,Finance,595,6171,Approved,
1061,2024-01-16,Marketing Tools,MailChimp,Operations,3138,0,Approved,
1062,2024-02-22,Hardware,Dell,Sales,3182,6729,Approved,
1063,2024-03-15,Travel,EuroTravel,Finance,1153,0,Approved,
1064,2024-02-09,Travel,FlyAway,Sales,3193,0,Approved,
1065,2024-01-08,Subscriptions,Slack,Finance,2056,0,Approved,
1066,2024-01-04,Travel,EuroTravel,Sales,3686,0,Approved,
1067,2024-03-30,Travel,EuroTravel,Operations,3722,0,Approved,
1068,2024-03-12,Consulting,BizAdvisors,Marketing,1584,0,Approved,
1069,2024-01-25,Hardware,Dell,Marketing,333,0,Completed,
1070,2024-03-15,Subscriptions,Slack,Sales,1450,0,Completed,
1071,2024-02-23,Hardware,Dell,IT,2903,0,Approved,
1072,2024-01-24,Consulting,BizAdvisors,Marketing,1345,0,Pending,
1073,2024-01-28,Consulting,BizAdvisors,Operations,4336,0,Approved,
1074,2024-03-24,Cloud Services,AWS,IT,1124,0,Pending,
1075,2024-03-09,Advertising,Facebook Ads,Finance,209,0,Pending,
1076,2024-03-05,Subscriptions,Notion,IT,4358,0,Approved,
1077,2024-01-01,Cloud Services,AWS,IT,2200,0,Approved,
1078,2024-02-22,Payment Processing,Stripe,Sales,4378,0,Completed,
1079,2024-03-17,Cloud Services,Google Cloud,Sales,2023,0,Approved,
1080,2024-02-03,Travel,FlyAway,Operations,970,0,Approved,
1081,2024-02-26,Advertising,Facebook Ads,Sales,3014,0,Approved,
1082,2024-03-15,Subscriptions,Slack,Operations,1529,0,Approved,
1083,2024-03-03,Client Revenue,Client C,Sales,0,7261,Pending,
1084,2024-03-21,Travel,FlyAway,Finance,337,0,Completed,
1085,2024-02-03,Marketing Tools,HubSpot,Sales,4018,0,Pending,
1086,2024-01-16,Hardware,Dell,Finance,3147,0,Pending,
1087,2024-02-01,Payment Processing,Stripe,Sales,3322,0,Approved,
1088,2024-03-10,Consulting,ConsultX,Sales,723,0,Approved,
1089,2024-03-13,Consulting,ConsultX,Finance,2461,0,Approved,
1090,2024-01-01,Cloud Services,Azure,Marketing,1476,2302,Approved,
1091,2024-01-28,Advertising,Facebook Ads,Operations,3487,0,Approved,
1092,2024-01-07,Client Revenue,Client D,Sales,0,3918,Pending,
1093,2024-01-15,Office Supplies,Staples,Finance,2275,0,Approved,
1094,2024-02-13,Travel,FlyAway,Operations,3796,0,Approved,
1095,2024-01-18,Payment Processing,Stripe,Sales,4406,0,Approved,
1096,2024-03-23,Software Licenses,Adobe,Marketing,2860,0,Approved,
1097,2024-03-10,Office Supplies,OfficeMart,Finance,1512,0,Pending,
1098,2024-03-15,Advertising,Google Ads,Marketing,2597,0,Approved,
1099,2024-01-31,Travel,EuroTravel,Finance,2795,2005,Approved,
1100,2024-03-19,Client Revenue,Client D,Sales,0,5551,Completed,
1101,2024-01-08,Hardware,HP,Finance,1341,0,Approved,
1102,2024-02-16,Marketing Tools,MailChimp,Marketing,1773,0,Pending,
1103,2024-01-03,Marketing Tools,MailChimp,Finance,2239,0,Approved,
1104,2024-03-24,Office Supplies,OfficePro,Operations,2576,0,Approved,
1105,2024-02-18,Software Licenses,JetBrains,Finance,4227,6429,Completed,
1106,2024-02-03,Client Revenue,Client A,Sales,0,5560,Approved,
1107,2024-03-12,Advertising,Facebook Ads,Sales,1452,0,Completed,
1108,2024-03-23,Subscriptions,Atlassian,Sales,2821,0,Pending,
1109,2024-02-07,Hardware,HP,Finance,2390,0,Approved,
1110,2024-02-20,Travel,FlyAway,Sales,397,0,Approved,
1111,2024-01-15,Software Licenses,JetBrains,Marketing,2235,0,Completed,
1112,2024-01-27,Advertising,Google Ads,IT,2443,0,Pending,
1113,2024-02-07,Client Revenue,Client B,Sales,0,9371,Approved,
1114,2024-01-08,Marketing Tools,HubSpot,Sales,2571,0,Approved,
1115,2024-02-05,Payment Processing,Stripe,Marketing,2316,0,Pending,
1116,2024-02-15,Software Licenses,JetBrains,Operations,2465,0,Pending,
1117,2024-02-12,Hardware,Dell,Marketing,3135,0,Completed,
1118,2024-01-09,Cloud Services,Google Cloud,Operations,3733,0,Approved,
1119,2024-01-21,Travel,EuroTravel,Sales,1405,0,Approved,
1120,2024-02-09,Advertising,Google Ads,Finance,3702,0,Pending,
1121,2024-01-26,Marketing Tools,MailChimp,Sales,774,0,Approved,
1122,2024-03-31,Advertising,Facebook Ads,Operations,3800,0,Pending,Check discrepancy
1123,2024-02-23,Client Revenue,Client C,Sales,0,4990,Approved,
1124,2024-01-29,Subscriptions,Atlassian,IT,2913,0,Approved,
1125,2024-02-18,Travel,EuroTravel,Marketing,541,0,Approved,
1126,2024-01-13,Cloud Services,Google Cloud,IT,2682,0,Approved,
1127,2024-01-30,Cloud Services,AWS,Sales,2265,0,Completed,
1128,2024-02-07,Office Supplies,Staples,Marketing,3535,0,Pending,
1129,2024-02-03,Consulting,BizAdvisors,Finance,254,0,Approved,
1130,2024-03-07,Software Licenses,Adobe,IT,2690,0,Approved,
1131,2024-03-07,Hardware,Dell,Sales,3875,0,Completed,
1132,2024-01-16,Software Licenses,JetBrains,Finance,364,0,Approved,
1133,2024-01-07,Travel,FlyAway,Operations,2398,0,Pending,
1134,2024-02-29,Payment Processing,PayPal,Sales,2120,0,Pending,
1135,2024-03-07,Consulting,ConsultX,Operations,1755,0,Approved,
1136,2024-02-13,Hardware,HP,Sales,3777,0,Approved,
1137,2024-03-27,Consulting,BizAdvisors,Finance,2968,0,Pending,
1138,2024-01-25,Hardware,HP,Operations,1501,0,Approved,
1139,2024-03-27,Consulting,ConsultX,Sales,2375,0,Pending,
1140,2024-02-06,Advertising,Facebook Ads,IT,1822,0,Pending,
1141,2024-01-31,Client Revenue,Client A,Sales,0,7263,Completed,
1142,2024-02-14,Hardware,Dell,Operations,3228,0,Completed,
1143,2024-03-05,Office Supplies,Staples,Finance,3563,0,Approved,
1144,2024-01-11,Client Revenue,Client D,Sales,0,11378,Approved,
1145,2024-02-24,Payment Processing,PayPal,Operations,1985,0,Pending,
1146,2024-03-21,Payment Processing,PayPal,Finance,681,0,Approved,
1147,2024-01-01,Hardware,Dell,IT,1138,0,Approved,
1148,2024-02-13,Payment Processing,Stripe,Operations,4397,0,Rejected,Rejected invoice
1149,2024-02-18,Client Revenue,Client C,Sales,0,3329,Approved,
